"Domain","GM Volume (n=102)","WM Volume (n=102)","Thalamic Volume (n=102)","WM Lesion Count (n=101)","WM Lesion Volume (n=101)","PRL Count (n=27)","PRL Volume (n=27)"
"EF Accuracy","-0.90 (0.370), d=-0.18","1.93 (0.056), d=0.39","2.93 (0.004), d=0.59*","-2.44 (0.016), d=-0.50","-1.59 (0.115), d=-0.32","-1.75 (0.093), d=-0.73","-1.15 (0.261), d=-0.48"
"CC Accuracy","1.16 (0.251), d=0.23","-0.48 (0.630), d=-0.10","3.26 (0.002), d=0.66*","-0.20 (0.844), d=-0.04","-0.46 (0.647), d=-0.09","-2.02 (0.056), d=-0.84","-2.81 (0.010), d=-1.17*"
"Memory Accuracy","-0.06 (0.952), d=-0.01","0.57 (0.571), d=0.12","0.91 (0.366), d=0.18","-0.23 (0.816), d=-0.05","-1.52 (0.131), d=-0.31","-0.76 (0.453), d=-0.32","0.25 (0.807), d=0.10"
"Emotion Accuracy","1.01 (0.317), d=0.20","0.50 (0.618), d=0.10","2.74 (0.007), d=0.56*","-0.33 (0.744), d=-0.07","-1.05 (0.296), d=-0.21","-0.08 (0.937), d=-0.03","-0.47 (0.646), d=-0.19"
"EF RT","-0.76 (0.450), d=-0.15","2.05 (0.043), d=0.42","2.77 (0.007), d=0.56*","-1.87 (0.065), d=-0.38","-1.12 (0.267), d=-0.23","-4.68 (0.000), d=-1.95*","-3.83 (0.001), d=-1.60*"
"CC RT","0.18 (0.856), d=0.04","2.47 (0.015), d=0.50*","2.52 (0.013), d=0.51*","-1.40 (0.164), d=-0.28","-0.35 (0.730), d=-0.07","-3.51 (0.002), d=-1.46*","-4.37 (0.000), d=-1.82*"
"Memory RT","-1.32 (0.190), d=-0.27","2.77 (0.007), d=0.56*","3.09 (0.003), d=0.63*","-2.09 (0.039), d=-0.42","-1.42 (0.158), d=-0.29","-3.32 (0.003), d=-1.39*","-1.24 (0.227), d=-0.52"
"Emotion RT","-2.28 (0.025), d=-0.46","2.94 (0.004), d=0.60*","3.03 (0.003), d=0.61*","-0.64 (0.524), d=-0.13","-0.43 (0.668), d=-0.09","-1.74 (0.095), d=-0.73","-0.54 (0.592), d=-0.23"
"Mean Accuracy","0.31 (0.761), d=0.06","0.89 (0.376), d=0.18","3.42 (0.001), d=0.69","-1.22 (0.226), d=-0.25","-1.45 (0.151), d=-0.29","-2.03 (0.054), d=-0.85","-1.75 (0.094), d=-0.73"
"Mean RT","-0.96 (0.338), d=-0.20","3.14 (0.002), d=0.64","3.77 (0.000), d=0.77","-2.02 (0.046), d=-0.41","-1.03 (0.303), d=-0.21","-4.38 (0.000), d=-1.83","-2.94 (0.007), d=-1.23"
